reservoir,pcode,year,month,mean_cfs,n_days,volume_af,water_year
KAC,QD,2016,10,499.5806451612903,31,30718.016528925622,2017
KAC,QD,2016,11,30.833333333333332,30,1834.710743801653,2017
KAC,QD,2016,12,32.225806451612904,31,1981.4876033057851,2017
KAC,QD,2017,1,61.74193548387097,31,3796.3636363636365,2017
KAC,QD,2017,2,67.67857142857143,28,3758.6776859504134,2017
KAC,QD,2017,3,36.70967741935484,31,2257.190082644628,2017
KAC,QD,2017,4,103.13333333333334,30,6136.859504132231,2017
KAC,QD,2017,5,40.83870967741935,31,2511.0743801652893,2017
KAC,QD,2017,6,328.93333333333334,30,19572.89256198347,2017
KAC,QD,2017,7,292.16129032258067,31,17964.29752066116,2017
KAC,QD,2017,8,582.516129032258,31,35817.520661157025,2017
KAC,QD,2017,9,1258.8,30,74903.80165289257,2017
KAC,QD,2017,10,509.7741935483871,31,31344.793388429753,2018
KAC,QD,2017,11,41.1,30,2445.619834710744,2018
KAC,QD,2017,12,29.774193548387096,31,1830.7438016528927,2018
KAC,QD,2018,1,32.645161290322584,31,2007.2727272727275,2018
KAC,QD,2018,2,34.42857142857143,28,1912.0661157024795,2018
KAC,QD,2018,3,216.06451612903226,31,13285.289256198348,2018
KAC,QD,2018,4,41.8,30,2487.2727272727275,2018
KAC,QD,2018,5,651.7741935483871,31,40076.033057851244,2018
KAC,QD,2018,6,329.03333333333336,30,19578.84297520661,2018
KAC,QD,2018,7,410.2258064516129,31,25223.801652892562,2018
KAC,QD,2018,8,656.1290322580645,31,40343.801652892565,2018
KAC,QD,2018,9,1231.2333333333333,30,73263.47107438017,2018
KAC,QD,2018,10,424.7741935483871,31,26118.347107438018,2019
KAC,QD,2018,11,28.466666666666665,30,1693.8842975206612,2019
KAC,QD,2018,12,27.612903225806452,31,1697.8512396694216,2019
KAC,QD,2019,1,26.483870967741936,31,1628.4297520661157,2019
KAC,QD,2019,2,25.214285714285715,28,1400.3305785123966,2019
KAC,QD,2019,3,44.16129032258065,31,2715.3719008264466,2019
KAC,QD,2019,4,33.06666666666667,30,1967.6033057851243,2019
KAC,QD,2019,5,94.51612903225806,31,5811.570247933884,2019
KAC,QD,2019,6,150.8,30,8973.223140495867,2019
KAC,QD,2019,7,682.1290322580645,31,41942.479338842975,2019
KAC,QD,2019,8,1335.3548387096773,31,82107.76859504133,2019
KAC,QD,2019,9,1076.2333333333333,30,64040.330578512396,2019
KAC,QD,2019,10,310.96774193548384,31,19120.661157024795,2020
KAC,QD,2019,11,26.066666666666666,30,1551.0743801652893,2020
KAC,QD,2019,12,29.032258064516128,31,1785.1239669421489,2020
KAC,QD,2020,1,28.06451612903226,31,1725.6198347107438,2020
KAC,QD,2020,2,28.379310344827587,29,1632.396694214876,2020
KAC,QD,2020,3,24.129032258064516,31,1483.6363636363637,2020
KAC,QD,2020,4,25,30,1487.6033057851241,2020
KAC,QD,2020,5,29.29032258064516,31,1800.9917355371902,2020
KAC,QD,2020,6,118.63333333333334,30,7059.173553719009,2020
KAC,QD,2020,7,412,31,25332.892561983474,2020
KAC,QD,2020,8,548.741935483871,31,33740.82644628099,2020
KAC,QD,2020,9,1268.9,30,75504.79338842975,2020
KAC,QD,2020,10,457,31,28099.834710743802,2021
KAC,QD,2020,11,31.866666666666667,30,1896.1983471074382,2021
KAC,QD,2020,12,30.258064516129032,31,1860.4958677685952,2021
KAC,QD,2021,1,30.322580645161292,31,1864.4628099173553,2021
KAC,QD,2021,2,31.214285714285715,28,1733.5537190082646,2021
KAC,QD,2021,3,33.483870967741936,31,2058.8429752066118,2021
KAC,QD,2021,4,83.66666666666667,30,4978.512396694215,2021
KAC,QD,2021,5,218.6451612903226,31,13443.966942148762,2021
KAC,QD,2021,6,574.1333333333333,30,34163.305785123965,2021
KAC,QD,2021,7,307.741935483871,31,18922.314049586777,2021
KAC,QD,2021,8,427.258064516129,31,26271.07438016529,2021
KAC,QD,2021,9,1239.1333333333334,30,73733.55371900827,2021
KAC,QD,2021,10,553.7741935483871,31,34050.2479338843,2022
KAC,QD,2021,11,61.166666666666664,30,3639.6694214876034,2022
KAC,QD,2021,12,33.516129032258064,31,2060.8264462809916,2022
KAC,QD,2022,1,35.225806451612904,31,2165.9504132231405,2022
KAC,QD,2022,2,35.82142857142857,28,1989.4214876033059,2022
KAC,QD,2022,3,40.12903225806452,31,2467.438016528926,2022
KAC,QD,2022,4,237.36666666666667,30,14124.297520661157,2022
KAC,QD,2022,5,485.61290322580646,31,29859.17355371901,2022
KAC,QD,2022,6,699.0666666666667,30,41597.35537190083,2022
KAC,QD,2022,7,285.19354838709677,31,17535.867768595042,2022
KAC,QD,2022,8,408.741935483871,31,25132.561983471074,2022
KAC,QD,2022,9,1297.9666666666667,30,77234.38016528926,2022
KAC,QD,2022,10,602.1758064516129,31,37026.347107438014,2023
KAC,QD,2022,11,35.2,30,2094.5454545454545,2023
KAC,QD,2022,12,29.06774193548387,31,1787.3057851239669,2023
KAC,QD,2023,1,29.938709677419354,31,1840.8595041322312,2023
KAC,QD,2023,2,29.785714285714285,28,1654.2148760330579,2023
KAC,QD,2023,3,28.87741935483871,31,1775.6033057851241,2023
KAC,QD,2023,4,117.45333333333333,30,6988.9586776859505,2023
KAC,QD,2023,5,68.85483870967742,31,4233.719008264463,2023
KAC,QD,2023,6,133.56333333333333,30,7947.570247933884,2023
